PM2.5,PM10,CO,NO2,SO2,O3,风速,压强,降水量,温度,湿度,时间
-19,-50,-0.102,-69,26,-68,0.7,1017.2,95,15,80,2018/11/15 13:56
-15,-39,-0.021,-77,36,-75,0.9,1017.3,95,15,79,2018/11/15 14:56
-16,-40,-0.006,-87,34,-72,0.6,1017.1,95,15,80,2018/11/15 15:57
-16,-34,-0.052,-77,40,-76,0.5,1017.6,95,14,80,2018/11/15 16:56
-15,-29,-0.199,-91,21,-65,0.2,1018.2,95,15,79,2018/11/15 17:56
-5,-11,-0.176,-48,20,-44,0.4,1018.8,95,14,76,2018/11/15 18:57
-13,-39,-0.111,-65,27,-65,0.2,1018.9,95,14,79,2018/11/15 19:56
-17,-52,-0.14,-67,22,-61,0.4,1019.3,95,14,80,2018/11/15 20:56
-18,-44,-0.17,-62,16,-58,1.2,1019.8,95,14,83,2018/11/15 21:56
-22,-51,-0.081,-58,12,-52,1.4,1019.8,95.2,13,90,2018/11/15 22:55
-22,-48,-0.201,-56,7,-46,0.3,1019.8,95.2,13,90,2018/11/15 23:57
-23,-51,-0.114,-48,1,-37,0.2,1019.6,95.6,12,93,2018/11/16 0:56
-15,-44,-0.225,-40,1,11,0.3,1019.7,95.7,12,90,2018/11/16 1:55
-20,-59,-0.119,-37,-2,6,0.4,1019.9,95.8,12,92,2018/11/16 2:55
-24,-59,-0.212,-43,2,-29,0.1,1019.9,95.8,12,93,2018/11/16 3:55
-20,-61,-0.221,-39,0,11,0.7,1020.3,95.8,12,92,2018/11/16 4:55
-17,-62,-0.196,-42,9,1,0.6,1020.9,95.8,12,90,2018/11/16 5:58
-24,-63,-0.139,-58,17,-49,0.5,1020.3,95.8,11,90,2018/11/16 6:55
-13,-57,-0.063,-51,10,10,0.8,1022.5,95.8,12,85,2018/11/16 7:57
-16,-34,-0.092,-53,10,25,1.7,1022.7,95.8,12,80,2018/11/16 8:55
-16,-34,-0.058,-48,10,24,0.8,1022.9,95.8,13,77,2018/11/16 9:56
-22,-47,-0.137,-50,7,31,0.5,1022.8,95.8,13,76,2018/11/16 10:57
-19,-54,-0.104,-44,3,27,1.4,1022.3,95.8,13,76,2018/11/16 11:56
-22,-61,-0.085,-44,4,23,2.7,1021.8,95.8,13,75,2018/11/16 12:56
-15,-46,-0.024,-45,7,10,0.8,1021.1,95.8,13,78,2018/11/16 13:56
-25,-52,-0.045,-39,6,3,2.4,1021.7,95.8,13,80,2018/11/16 14:57
-22,-63,-0.048,-52,6,-49,0.9,1021.6,95.8,11,89,2018/11/16 15:56
-25,-70,0.059,-49,9,-49,1.3,1022.5,95.8,11,91,2018/11/16 16:55
-36,-85,-0.042,-50,13,-51,1.5,1022.7,95.8,10,93,2018/11/16 17:56
-31,-69,0.051,-61,5,-42,0.9,1023.3,95.8,11,88,2018/11/16 18:56
-18,-57,-0.028,-43,4,7,0.6,1023.4,95.8,11,81,2018/11/16 19:56
-15,-49,-0.015,-42,3,-29,1.4,1023.6,95.8,11,80,2018/11/16 20:55
-12,-50,-0.022,-48,8,-39,0.8,1023.7,95.8,10,81,2018/11/16 21:56
-1,-53,-0.034,-43,6,-41,1.1,1023.6,95.8,10,78,2018/11/16 22:56
-18,-57,-0.052,-35,2,9,1,1024,95.8,10,79,2018/11/16 23:56
-12,-37,-0.152,-37,0,11,0.5,1024,95.8,10,77,2018/11/17 0:56
-2,-4,-0.155,-32,-3,10,2.1,1023,95.8,10,72,2018/11/17 1:56
-5,-11,-0.16,-33,0,5,0.8,1022.5,95.8,9,73,2018/11/17 2:57
-10,-9,-0.129,-35,4,0,1,1022.5,95.8,9,75,2018/11/17 3:57
-11,-33,-0.102,-40,6,-43,0.2,1022.8,95.8,9,77,2018/11/17 5:01
-15,-29,-0.041,-47,12,-50,0.3,1022.9,95.8,9,77,2018/11/17 5:57
-21,-30,-0.12,-55,20,-62,0.7,1023.2,95.8,9,76,2018/11/17 6:56
-15,-24,0.03,-60,13,-56,0.4,1022.8,95.9,9,77,2018/11/17 7:57
-13,-21,-0.015,-55,11,-43,1,1022.6,95.9,11,68,2018/11/17 8:55
-13,-12,-0.113,-52,18,-27,0.7,1024.4,95.9,13,65,2018/11/17 9:56
-15,-13,-0.024,-57,15,-48,1,1023.9,95.9,12,69,2018/11/17 10:58
-16,-17,-0.125,-61,15,-50,0.3,1022.1,95.9,12,68,2018/11/17 11:55
-17,-11,-0.157,-55,17,-49,0.9,1020.8,95.9,13,66,2018/11/17 12:57
-10,-10,-0.145,-57,24,-54,1,1020.4,95.9,13,66,2018/11/17 13:55
-15,-14,-0.12,-72,27,-59,0.5,1020.4,95.9,13,68,2018/11/17 14:57
-4,-19,-0.131,-73,27,-56,0.3,1020.3,95.9,13,68,2018/11/17 15:57
-9,5,-0.074,-62,29,-56,0.7,1019.8,95.9,12,68,2018/11/17 16:56
-2,-10,-0.069,-70,28,-59,0.3,1020.5,95.9,12,71,2018/11/17 17:56
-21,-38,-0.076,-74,25,-60,0.7,1020.3,95.9,12,74,2018/11/17 18:56
-27,-61,-0.058,-79,27,-63,0.2,1020.4,96.4,11,88,2018/11/17 19:56
-19,-64,-0.113,-74,22,-60,0.5,1020.8,96.7,10,88,2018/11/17 20:56
-26,-79,-0.113,-71,17,-56,0.4,1021.2,100.5,10,95,2018/11/17 21:55
-25,-78,0.008,-63,12,-54,0.8,1021.4,102,10,94,2018/11/17 22:55
-26,-77,-0.121,-56,9,-46,0.4,1021,106.3,9,96,2018/11/17 23:56
-22,-69,-0.193,-51,-1,-28,0.4,1020.8,107.7,9,96,2018/11/18 0:56
-26,-69,-0.138,-36,-1,12,0.5,1020.3,109.3,9,94,2018/11/18 1:55
-28,-74,-0.171,-42,1,9,1.3,1020.3,109.3,9,96,2018/11/18 2:55
-26,-79,-0.096,-39,-3,18,0.4,1019.8,109.3,9,97,2018/11/18 3:55
-24,-70,-0.178,-38,1,9,0.8,1019.3,109.3,9,95,2018/11/18 4:57
-28,-75,-0.045,-46,5,-34,1,1019.6,109.3,8,96,2018/11/18 5:55
-16,-65,-0.192,-43,8,5,0.8,1020.3,109.3,8,92,2018/11/18 6:57
-20,-57,-0.091,-56,10,-44,1.4,1021,109.5,9,94,2018/11/18 7:55
-19,-51,-0.048,-64,22,-61,1.1,1021.8,111.5,9,96,2018/11/18 8:57
-31,-78,-0.074,-63,18,-56,0.8,1021.7,115.4,9,96,2018/11/18 9:57
-20,-77,-0.076,-67,16,-49,0.6,1021.4,116.4,9,96,2018/11/18 10:56
-33,-72,-0.057,-61,16,-61,0.9,1020.6,118.3,9,95,2018/11/18 11:56
-27,-78,-0.056,-66,15,-54,0.2,1019.7,118.9,9,95,2018/11/18 12:56
-30,-73,-0.062,-57,15,-47,1.2,1019.4,120.1,9,94,2018/11/18 13:56
-16,-69,-0.024,-60,18,-47,0.4,1019.8,121.1,9,95,2018/11/18 14:56
-22,-78,-0.035,-58,23,-55,0.7,1019.9,121.2,9,94,2018/11/18 15:56
-23,-82,-0.029,-68,27,-61,0.5,1020.3,121.3,9,95,2018/11/18 16:56
-25,-77,0.11,-73,35,-73,1.3,1021,121.5,9,95,2018/11/18 17:57
-33,-87,0.048,-83,29,-59,0.1,1021.2,121.7,9,96,2018/11/18 18:57
-27,-82,0.059,-69,25,-55,0.6,1021.1,121.7,9,94,2018/11/18 19:57
-28,-85,0.141,-72,24,-57,0.5,1021.4,121.7,9,95,2018/11/18 20:57
-27,-91,0.013,-72,19,-55,0.5,1021.9,121.7,9,94,2018/11/18 21:57
-29,-83,0.005,-57,21,-53,0.2,1021.5,121.7,8,97,2018/11/18 22:55
-27,-88,0.002,-54,8,-46,0.8,1022.6,121.7,9,93,2018/11/18 23:55
-19,-76,0.016,-44,5,-32,0.9,1022.2,121.7,8,91,2018/11/19 0:55
-17,-81,0.12,-43,4,-41,0.4,1022.2,121.7,8,90,2018/11/19 1:55
-21,-89,0.044,-40,7,-44,0.3,1022,121.7,8,89,2018/11/19 2:56
-20,-89,0.093,-37,7,-30,0.4,1022,121.7,8,86,2018/11/19 3:56
-27,-111,0.185,-49,8,-52,1.1,1022.1,121.7,8,87,2018/11/19 4:56
-20,-96,0.239,-38,10,-52,0.5,1022.4,121.7,8,83,2018/11/19 5:57
-18,-111,0.685,-49,19,-59,0.4,1022.9,121.7,8,81,2018/11/19 6:57
-21,-95,0.662,-54,24,-60,0.4,1023.8,121.7,9,80,2018/11/19 7:57
-15,-95,0.679,-55,18,-51,0.4,1024.1,121.7,9,79,2018/11/19 8:55
-20,-99,0.695,-52,21,-54,0.2,1024.5,121.7,10,75,2018/11/19 9:55
-18,-88,0.622,-60,28,-56,0.7,1024.5,121.7,10,72,2018/11/19 10:57
-8,-62,0.582,-58,28,-54,0.7,1023.6,121.7,11,68,2018/11/19 11:56
-15,-85,0.584,-51,28,-50,1,1022.7,121.7,12,64,2018/11/19 12:56
-2,-57,0.654,-49,32,4,0.5,1021.9,121.7,13,61,2018/11/19 13:57
-8,-62,0.481,-71,36,-55,1.1,1022,121.7,12,66,2018/11/19 14:56
-9,-71,0.891,-70,50,-75,1.5,1021.6,121.7,11,69,2018/11/19 15:57
-14,-78,1.132,-54,71,-89,0.9,1021.9,121.7,10,77,2018/11/19 16:59
-6,-44,0.853,-25,63,-91,1.2,1022.7,121.7,9,80,2018/11/19 17:56
-24,-64,0.761,-46,54,-89,0.3,1023.3,121.7,9,80,2018/11/19 18:56
-12,-53,0.834,-85,49,-81,0.3,1022.9,121.7,8,86,2018/11/19 19:56
-13,-74,0.79,-90,47,-82,0.2,1023.1,121.7,8,90,2018/11/19 20:56
-14,-73,0.81,-80,42,-75,0.2,1022.8,121.7,7,92,2018/11/19 21:56
-19,-88,0.764,-84,35,-79,0.3,1022.8,121.7,7,93,2018/11/19 22:55
-21,-89,0.732,-86,33,-76,0.3,1022.9,121.7,7,94,2018/11/19 23:56
-21,-68,0.66,-72,30,-75,0.2,1022.3,121.7,8,92,2018/11/20 0:55
-9,-91,0.5,-67,27,-71,0.5,1021.7,121.7,7,93,2018/11/20 1:56
-5,-77,0.337,-74,31,-73,0.5,1020.9,121.7,8,89,2018/11/20 2:56
-22,-91,0.248,-78,26,-67,0.6,1020.7,121.7,8,89,2018/11/20 3:57
-17,-60,0.242,-57,26,-67,0.2,1020.4,121.7,7,89,2018/11/20 4:58
-12,-78,0.36,-63,27,-66,0.7,1021,121.7,6,96,2018/11/20 5:55
-20,-60,0.568,-71,32,-75,0.6,1021.1,121.7,7,93,2018/11/20 6:55
-28,-115,0.591,-79,29,-65,0.5,1021.1,121.7,9,84,2018/11/20 7:58
-32,-92,0.749,-64,31,-53,1.5,1021.3,121.7,12,72,2018/11/20 8:55
-6,-68,0.391,-50,23,35,2.1,1019.6,121.7,16,61,2018/11/20 11:57
-12,-73,0.209,-49,20,29,2,1017.8,121.7,16,59,2018/11/20 12:56
-14,-49,0.197,-40,13,32,0.3,1018,121.7,17,58,2018/11/20 13:55
-21,-74,-0.045,-43,13,31,0.6,1018,121.7,17,59,2018/11/20 14:55
-10,-31,0.155,-39,30,10,1.1,1017.7,121.7,16,63,2018/11/20 15:55
-13,-35,0.202,-75,35,34,0.5,1017.4,121.7,14,70,2018/11/20 16:56
-18,-36,0.188,-66,27,28,0.4,1017.4,121.7,14,75,2018/11/20 17:58
-36,-81,0.241,-65,26,29,0.2,1017.3,121.7,14,77,2018/11/20 18:59
-33,-93,0.165,-68,30,22,0.7,1017.2,121.7,14,78,2018/11/20 20:01
-33,-84,0.255,-68,38,-60,0.3,1017.1,121.7,13,81,2018/11/20 20:59
-37,-101,0.624,-50,58,-93,0.4,1017.4,121.7,13,84,2018/11/20 23:00
-45,-123,0.344,-34,46,-90,0.2,1017.5,122.1,13,92,2018/11/21 1:04
-48,-149,0.424,-87,41,-84,0.3,1017.4,124.1,12,97,2018/11/21 2:04
-50,-160,0.424,-80,36,-79,0.3,1016.8,125.9,12,98,2018/11/21 2:59
-54,-133,0.447,-81,33,-80,0.2,1016.7,126.6,12,98,2018/11/21 6:03
-60,-156,0.509,-51,30,-79,0.1,1017.8,126.6,12,98,2018/11/21 7:04
-35,-117,0.15,-78,26,-75,0.4,1018.5,126.6,12,96,2018/11/21 8:01
-21,-111,0.267,-61,24,-64,0.7,1019.9,126.6,12,95,2018/11/21 12:01
-29,-101,0.458,-80,16,-70,0.4,1019.7,126.6,11,97,2018/11/21 12:56
-41,-183,0.86,-64,25,-51,0.8,1019.4,126.6,11,95,2018/11/21 14:03
-17,-111,1.111,-74,27,-48,1.1,1019.5,126.6,12,91,2018/11/21 14:59
-43,-144,1.098,-72,32,-49,0.4,1019.6,126.6,12,87,2018/11/21 15:58
-27,-118,0.633,-76,27,-47,0.9,1020.3,126.6,12,84,2018/11/21 16:55
-37,-132,1.194,-61,32,-38,0.9,1021.1,126.6,12,79,2018/11/21 17:56
-26,-137,0.794,-68,34,-54,1.1,1022.8,126.6,11,76,2018/11/21 20:05
-23,-139,0.607,-71,29,-60,0.8,1024.1,126.6,11,77,2018/11/21 21:01
-9,-102,0.303,-68,25,-58,0.2,1025.2,126.6,11,82,2018/11/21 21:58
-30,-90,0.344,-60,26,-70,0.2,1025.8,126.6,9,93,2018/11/22 0:59
-40,-110,0.641,-65,29,-72,0.3,1025.6,126.6,8,95,2018/11/22 1:59
-48,-134,0.489,-68,28,-65,0.1,1026,126.6,8,95,2018/11/22 2:59
-65,-196,0.577,-55,25,-59,0.4,1026.2,126.6,8,93,2018/11/22 4:03
-45,-168,0.451,-61,28,-67,0.1,1026.1,126.6,8,94,2018/11/22 4:56
-44,-158,0.54,-67,28,-69,0.2,1026.3,126.6,7,98,2018/11/22 5:58
-50,-175,0.988,-52,38,-70,0.3,1026.7,126.6,7,99,2018/11/22 6:58
-20,-110,0.358,-83,34,-64,0.3,1027.8,126.6,11,80,2018/11/22 8:59
-8,-66,0.234,-42,26,19,0.1,1027.4,126.6,13,59,2018/11/22 10:57
-10,-21,0.157,-38,19,26,0.4,1026.6,126.6,13,53,2018/11/22 11:59
-1,-36,0.348,-45,24,27,0.6,1025.6,126.6,15,42,2018/11/22 12:57
-22,-64,0.44,-47,22,44,0.6,1024.7,126.6,15,43,2018/11/22 14:01
-11,-36,0.655,-51,23,38,0.6,1024.3,126.6,15,40,2018/11/22 15:05
-20,-78,0.826,-73,49,-29,1.4,1024.9,126.6,13,47,2018/11/22 16:02
-8,-53,0.819,-30,78,-81,0.2,1025,126.6,11,57,2018/11/22 17:02
3,-30,0.845,-80,84,-101,0.3,1025.4,126.6,10,64,2018/11/22 17:55
4,8,0.601,-30,74,-93,0.4,1025.3,126.6,9,74,2018/11/22 20:04
0,-17,0.242,-45,67,-91,0.2,1025.6,126.7,9,69,2018/11/22 20:56
-1,-8,0.175,-68,47,-74,0.4,1025.8,126.7,9,61,2018/11/22 22:02
-7,-31,0.285,-77,31,-55,0.3,1024.9,126.7,9,61,2018/11/22 23:01
-9,-40,0.246,-74,33,-61,0.7,1024.4,126.7,9,63,2018/11/23 0:02
-10,-32,0.244,-65,37,-64,0.3,1024.7,126.7,9,65,2018/11/23 0:56
-14,-42,0.246,-85,44,-76,0.3,1024.7,126.7,8,72,2018/11/23 2:05
-7,-48,0.241,-86,46,-80,0.5,1024,126.7,8,74,2018/11/23 2:59
-19,-64,0.358,-71,51,-81,0.4,1022.9,126.7,7,78,2018/11/23 5:05
-27,-77,0.553,-36,55,-81,0.4,1023.1,126.7,6,83,2018/11/23 6:59
-18,-51,0.37,-23,42,-78,0.4,1023.2,126.7,9,76,2018/11/23 7:58
-16,-46,0.144,-61,27,4,1.2,1022,126.7,14,57,2018/11/23 11:00
-2,-12,0.04,-43,11,29,0.7,1020.9,126.7,16,51,2018/11/23 11:55
-7,-13,0.103,-44,11,34,0.7,1019.6,126.7,17,47,2018/11/23 13:00
-2,-1,-0.018,-31,11,17,1.6,1018.5,126.7,17,46,2018/11/23 14:00
-9,-12,-0.009,-37,19,10,1.2,1017.7,126.7,17,46,2018/11/23 14:57
-1,-16,0.129,-43,34,-3,0.5,1017.9,126.7,16,48,2018/11/23 15:55
-11,-5,0.294,-79,60,-61,0.7,1018.2,126.7,14,56,2018/11/23 17:00
-15,19,0.571,-64,76,-94,0.1,1018.9,126.7,12,66,2018/11/23 18:00
-28,-33,0.517,-70,80,-108,0.3,1019.2,126.7,11,78,2018/11/23 19:02
-26,-30,0.399,-74,84,-114,0.5,1019.2,126.7,11,74,2018/11/23 20:00
-30,-92,0.251,-59,75,-108,2.4,1019.1,126.7,11,77,2018/11/23 21:00
-24,-84,0.295,-53,71,-105,0.6,1019.2,126.7,10,78,2018/11/23 21:57
-31,-81,0.294,-65,67,-98,0.9,1018.9,126.7,10,80,2018/11/23 22:57
-23,-70,0.399,-23,59,-95,0.4,1018.8,126.7,9,82,2018/11/23 23:59
-25,-80,0.41,-90,53,-84,0.3,1019.3,126.7,8,88,2018/11/24 0:55
-24,-84,0.511,-78,43,-83,0.2,1019.9,126.7,8,92,2018/11/24 1:57
-31,-80,0.456,-87,36,-78,0.3,1019.9,126.7,7,95,2018/11/24 2:59
-20,-76,0.302,-87,35,-78,0.3,1019.7,126.7,7,95,2018/11/24 4:00
-36,-92,0.375,-70,36,-72,0.3,1019.8,126.7,7,95,2018/11/24 4:57
-28,-53,0.501,-88,39,-79,0.3,1020.4,126.7,7,95,2018/11/24 5:57
-31,-36,0.638,-78,43,-72,0.3,1020.9,126.7,7,96,2018/11/24 6:59
-33,-82,0.549,-52,46,-84,0.6,1021.5,126.7,9,83,2018/11/24 8:00
-25,-71,0.615,-54,56,-91,0.9,1022.1,126.7,12,74,2018/11/24 9:02
-19,-56,0.477,-27,61,-88,0.5,1022,126.7,14,65,2018/11/24 9:56
-12,-46,0.38,-79,66,-98,1,1021.9,126.7,16,57,2018/11/24 11:00
-5,-34,0.307,-20,67,-93,0.8,1021.5,126.7,17,56,2018/11/24 12:02
-25,-38,0.476,-50,64,-83,0.4,1021,126.7,19,50,2018/11/24 13:00
-2,-20,0.495,-44,69,-76,0.5,1020.5,126.7,20,42,2018/11/24 13:57
-14,-44,0.493,-13,85,-92,0.3,1020.7,126.7,19,46,2018/11/24 15:03
-12,-55,0.444,-54,88,-88,0.2,1021.2,126.7,18,51,2018/11/24 15:57
7,-17,1.09,-73,132,-127,0.3,1021,126.7,15,62,2018/11/24 17:02
12,56,0.857,-55,112,-146,0.2,1021,126.7,13,71,2018/11/24 18:02
-4,-24,0.66,-59,88,-111,0.1,1021.6,126.7,12,73,2018/11/24 18:59
-8,-58,0.503,-34,61,-87,0.3,1021.6,126.7,12,75,2018/11/24 20:02
-27,-79,0.628,-84,66,-92,0.2,1021.7,126.7,12,76,2018/11/24 21:02
-27,-112,0.601,-40,75,-95,0.2,1021.6,126.7,12,80,2018/11/24 22:00
-16,-81,0.987,-50,67,-89,0.1,1021.7,126.7,11,82,2018/11/24 23:00
-35,-125,0.664,-28,59,-92,0.3,1021.5,126.7,11,83,2018/11/24 23:55
-37,-126,0.698,-27,52,-83,0.1,1021.2,126.7,10,87,2018/11/25 0:59
-34,-124,0.737,-83,47,-73,0.3,1020.9,126.7,9,90,2018/11/25 2:02
-40,-145,0.851,-85,46,-77,0.2,1020.5,126.7,9,90,2018/11/25 2:55
-51,-192,0.962,-83,46,-73,0.1,1020.2,126.7,9,94,2018/11/25 4:00
-55,-213,0.876,-83,45,-81,0.4,1020,126.7,8,97,2018/11/25 5:02
-56,-195,0.999,-89,42,-80,0.1,1020,126.7,8,98,2018/11/25 5:55
-52,-208,0.973,-78,49,-76,0.3,1019.9,126.7,8,99,2018/11/25 7:00
-52,-143,0.843,-68,53,-80,0.3,1020,126.7,10,89,2018/11/25 7:55
-27,-132,0.823,-23,62,-87,0.4,1020.5,126.7,13,77,2018/11/25 9:00
-26,-126,0.799,-38,60,-79,0.6,1020.7,126.7,15,73,2018/11/25 10:00
-17,-95,0.624,-65,43,-42,0.1,1019.8,126.7,17,62,2018/11/25 11:00
-21,-88,0.366,-54,21,62,0.7,1019,126.7,19,54,2018/11/25 11:55
10,-29,0.324,-20,15,42,0.2,1018,126.7,19,44,2018/11/25 13:02
-14,-66,0.304,-31,17,48,0.4,1017.9,126.7,19,47,2018/11/25 14:00
-15,-56,0.435,-31,25,39,0.4,1017.9,126.7,18,49,2018/11/25 14:56
5,-11,0.54,-35,38,17,0.8,1018.1,126.7,17,52,2018/11/25 15:57
-10,-24,0.474,-59,48,28,0.2,1018.4,126.7,15,64,2018/11/25 17:02
-24,-78,0.949,-51,97,-94,0.1,1019,126.7,14,72,2018/11/25 18:02
-32,-110,0.965,-44,85,-100,0.2,1019.3,126.7,13,81,2018/11/25 19:00
-25,-141,0.919,-83,81,-96,0.2,1019.5,126.7,12,84,2018/11/25 19:55
-41,-182,1.228,-38,85,-110,0.1,1019.8,126.7,12,86,2018/11/25 20:55
-39,-167,1.343,-21,73,-97,0.2,1019.7,126.7,11,91,2018/11/25 22:00
-50,-192,1.402,-84,59,-84,0.2,1019.4,126.7,10,96,2018/11/25 23:02
-42,-146,1.285,-24,46,-81,0.2,1019.6,126.7,10,97,2018/11/25 23:55
-51,-193,1.321,-28,43,-79,0.2,1019.3,126.7,10,98,2018/11/26 1:00
-58,-189,1.171,-61,38,-80,0.3,1019.3,126.7,10,99,2018/11/26 2:00
-61,-185,1.115,-89,31,-80,0.3,1019,126.7,9,99,2018/11/26 2:55
-58,-199,0.952,-66,28,-74,0.3,1019.1,126.7,9,100,2018/11/26 3:57
-61,-189,0.809,-76,34,-74,0.3,1019.2,126.7,9,100,2018/11/26 4:55
-54,-164,0.726,-72,30,-71,0.2,1019.8,126.7,9,100,2018/11/26 6:00
-64,-185,0.81,-71,32,-73,0.3,1020.2,126.7,9,100,2018/11/26 6:55
-65,-186,0.853,-20,36,-81,0.4,1020.9,126.7,10,100,2018/11/26 8:00
-78,-196,0.813,-86,53,-84,1,1021.6,126.7,10,100,2018/11/26 9:02
-43,-147,0.802,-27,51,-81,0.6,1021.9,126.7,11,100,2018/11/26 10:00
-34,-153,0.59,-62,36,-64,0.5,1021.6,126.7,12,98,2018/11/26 10:56
-22,-143,0.514,-87,38,-60,0.9,1020.4,126.7,12,96,2018/11/26 11:58
-8,-160,0.602,-81,41,-51,0.8,1019.8,126.7,13,92,2018/11/26 12:58
7,-129,0.595,-89,52,-67,0.4,1019.6,126.7,14,88,2018/11/26 13:57
8,-116,0.637,-56,65,-75,0.4,1019.4,126.7,15,82,2018/11/26 15:02
10,-120,0.791,-75,82,-104,0.6,1019.3,126.7,15,84,2018/11/26 16:00
1,-128,1.129,-55,83,-105,0.3,1019.7,126.7,12,94,2018/11/26 16:59
-27,-151,1.497,-89,74,-94,0.2,1020.6,126.7,11,99,2018/11/26 17:59
-36,-162,1.67,-69,50,-88,0.2,1020.9,126.7,11,100,2018/11/26 19:02
-40,-136,1.414,-83,50,-81,0.4,1021.1,126.7,10,100,2018/11/26 19:57
-51,-137,0.788,-27,39,-106,0.9,1021.2,126.7,10,100,2018/11/26 20:55
-63,-195,0.777,-54,56,-94,0.2,1021.6,126.7,9,100,2018/11/26 21:59
-61,-174,0.6,-56,59,-95,1.2,1021.7,126.7,10,100,2018/11/26 22:57
-54,-143,0.556,-59,57,-95,0.7,1021.3,126.7,9,100,2018/11/26 23:57
-54,-154,0.786,-72,47,-80,0.6,1020.9,126.7,9,100,2018/11/27 1:02
-51,-133,0.554,-87,27,-65,2.1,1020.5,126.7,9,100,2018/11/27 1:59
-41,-138,0.612,-62,15,-49,0.7,1020.5,126.7,9,100,2018/11/27 2:59
-53,-121,0.586,-55,9,-35,0.5,1020.8,126.7,8,100,2018/11/27 4:00
-48,-120,0.586,-50,11,-40,0.2,1021,126.7,8,100,2018/11/27 5:00
-50,-122,0.625,-57,17,-46,0.5,1021.2,126.7,8,100,2018/11/27 6:02
-47,-126,0.916,-56,26,-57,0.9,1021.9,126.7,8,100,2018/11/27 7:00
-34,-103,0.984,-72,30,-58,0.6,1021.9,126.7,8,100,2018/11/27 7:59
-23,-100,0.856,-78,35,-60,1,1022.2,126.7,8,100,2018/11/27 8:57
-20,-102,0.862,-86,42,-63,0.4,1022.3,126.7,9,100,2018/11/27 10:00
-1,-65,0.966,-88,52,-75,1.5,1022,126.7,13,79,2018/11/27 10:56
-7,-60,0.997,-39,58,-78,0.6,1021,126.7,16,68,2018/11/27 12:00
-17,-72,0.849,-81,63,-73,0.7,1020.3,126.7,19,53,2018/11/27 13:00
-17,-63,1.046,-32,70,24,0.8,1020,126.7,20,47,2018/11/27 13:59
-11,-63,0.843,-83,76,-5,0.6,1019.6,126.7,19,50,2018/11/27 15:00
-7,-44,1.152,-76,107,-94,0.2,1019.4,126.7,19,49,2018/11/27 16:00
-28,-78,1.699,-72,107,-117,0.3,1019.6,126.7,14,74,2018/11/27 17:02
-4,-8,3.15,-35,81,-126,0.2,1020,126.7,13,83,2018/11/27 17:59
6,-9,2.795,-35,63,-86,0.1,1020.6,126.7,12,88,2018/11/27 18:59
-6,-34,2.613,-58,60,-113,0.3,1020.7,126.7,11,93,2018/11/27 20:02
-22,-77,1.899,-38,60,-98,0.3,1020.5,126.7,10,96,2018/11/27 21:00
-11,-69,1.93,-58,43,-91,0.3,1020.7,126.7,10,96,2018/11/27 21:57
-21,-88,1.205,-80,46,-90,0.5,1020.5,126.7,9,95,2018/11/27 23:02
